,fips,number_rivers_and_streams,length_of_rivers_and_streams
1061,21215,8,154.32
1062,21217,6,125.68
1063,21219,11,177.02
1064,21221,11,219.24
1065,21223,7,77.7
1066,21225,8,154.12
1067,21227,18,240.49
1068,21229,9,253.72
1069,21231,7,189.48
1070,21233,10,152.08
1071,21235,13,200.78
1072,21237,6,95.88
1073,21239,7,113.57
1074,22001,15,323.88
1075,22003,20,373.75
1076,22005,8,112.38
1077,22007,5,8.52
1078,22009,20,318.77
1079,22011,24,551.12
1080,22013,19,394.05
1081,22015,13,467.54
1082,22017,24,473.87
1083,22019,25,457.1
1084,22021,11,212.88
1085,22023,8,293.62
1086,22025,24,486.05
1087,22027,17,247.85
1088,22029,11,312.89
1089,22031,28,423.15
1090,22033,10,253.92
1091,22035,4,195.39
1092,22037,19,236.62
1093,22039,16,286.81
1094,22041,14,388.96
1095,22043,20,372.1
1096,22045,5,111.67
1097,22047,8,195.17
1098,22049,14,219.31
1099,22051,3,74.14
1100,22053,19,287.2
1101,22055,7,135.82
1102,22057,11,198.82
1103,22059,24,340.55
1104,22061,12,178.97
1105,22063,21,429.94
1106,22065,8,258.85
1107,22067,11,418.26
1108,22069,43,721.89
1109,22071,5,123.91
1110,22073,13,313.41
1111,22075,2,230.09
1112,22077,13,225.16
1113,22079,36,666.66
1114,22081,10,223.82
1115,22083,9,247.54
1116,22085,31,478.09
1117,22087,2,66.44
1118,22089,4,51.77
1119,22091,13,205.82
1120,22093,7,95.15
1121,22095,5,95.9
1122,22097,17,396.18
1123,22099,14,251.61
1124,22101,7,228.52
1125,22103,15,470.72
1126,22105,23,455.07
1127,22107,7,171.02
1128,22109,7,152.96
1129,22111,16,347.97
1130,22113,14,221.54
1131,22115,34,690.79
1132,22117,13,282.45
1133,22119,13,214.68
1134,22121,8,134.53
1135,22123,5,151.52
1136,22125,9,226.47
1137,22127,32,430.92
1138,23001,16,247.09
1139,23003,158,3230.73
1140,23005,33,386.46
1141,23007,41,639.18
1142,23009,40,394.95
1143,23011,16,266.13
1144,23013,8,116.49
1145,23015,15,181.04
1146,23017,55,875.78
1147,23019,95,1440.58
1148,23021,107,1625.38
1149,23023,7,59.67
1150,23025,93,1523.04
1151,23027,21,281.85
1152,23029,63,1035.93
1153,23031,33,539.68
1154,24001,18,312.48
1155,24003,10,93.99
1156,24005,12,270.7
1157,24009,4,43.69
1158,24011,7,105.43
1159,24013,15,228.09
1160,24015,14,142.89
1161,24017,8,137.26
1162,24019,11,219.93
1163,24021,17,303.25
1164,24023,18,297.68
1165,24025,9,194.91
1166,24027,6,105.36
1167,24029,5,50.82
1168,24031,13,222.99
1169,24033,12,192.73
1170,24035,5,77.36
1171,24037,8,80.75
1172,24039,8,95.81
1173,24041,3,31.84
1174,24043,21,298.29
1175,24045,15,188.91
1176,24047,11,162.83
1177,25001,6,52.51
1178,25003,45,375.92
1179,25005,17,180.01
1180,25007,0,0.0
1181,25009,15,235.33
1182,25011,28,367.63
1183,25013,38,356.48
1184,25015,28,398.73
1185,25017,32,397.52
1186,25019,0,0.0
1187,25021,13,140.42
1188,25023,19,210.08
1189,25025,2,19.57
1190,25027,65,738.07
1191,26001,22,280.14
1192,26003,14,229.6
1193,26005,16,356.7
1194,26007,16,271.8
1195,26009,8,69.9
1196,26011,6,152.24
1197,26013,27,391.25
1198,26015,14,231.14
1199,26017,10,159.82
1200,26019,3,92.8
1201,26021,11,243.85
1202,26023,12,197.14
1203,26025,15,299.92
1204,26027,9,120.73
1205,26029,7,61.02
1206,26031,12,255.49
1207,26033,19,364.1
1208,26035,13,190.87
1209,26037,12,249.37
1210,26039,10,220.62
1211,26041,16,368.23
1212,26043,17,338.78
1213,26045,12,235.78
1214,26047,6,59.6
1215,26049,17,300.53
1216,26051,14,256.54
1217,26053,29,481.24
1218,26055,10,93.65
1219,26057,9,192.1
1220,26059,17,269.94
1221,26061,17,278.46
1222,26063,11,260.4
1223,26065,14,251.34
1224,26067,17,290.26
1225,26069,16,253.36
1226,26071,36,532.62
1227,26073,12,248.18
1228,26075,13,226.17
1229,26077,13,184.77
